Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:10fe6de9288140db5ac90241b8d7a42040eba0f666b6dc622db74611dd17d9a1	arm64	Linux	Alpine 3.11	3.1.4	3.1/aspnet/alpine3.11/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-05-15 21.35.57.00
sha256:1102adb1014bdea8034540407682f5d698b9e47c2e85821ffd50d5072bb291ba	amd64	Windows	"Windows Server, version 2004"	2.1.807	src/sdk/2.1/nanoserver-2004/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-06-30 00.32.50.00
sha256:11a976b5cbabb95dd066e8fa3cc1e8ccec0e1adc11402669f997dbe5f3ee28a0	arm64	Linux	Debian 10	3.1.3	3.1/aspnet/buster-slim/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-04-28 17.57.47.00
sha256:11c18729b29b2d74082f29f5873e6c91bcb16003c543b7710fd88bf68a7ae0a0	amd64	Linux	Ubuntu 20.04	3.1.5	src/runtime/3.1/focal/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-06-30 00.28.11.00
sha256:11ca17850d1ca360217157745faa9fe71ec8c39ad489627dfceaaeafd45f25fa	amd64	Windows	"Windows Server, version 1909"	2.1.18	2.1/aspnet/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-12 22.21.12.00
sha256:124c297e3c43531a757c93ea8bc748582d182dbf7897227a1e3b45cee0665c7e	arm64	Linux	Ubuntu 20.04	5.0.0-preview.4	5.0/aspnet/focal/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-04-27 15.28.49.00
sha256:1257622f991568a4206cb332740dff5add2eebfb69cb8c32b7677959388b72ef	arm64	Linux	Debian 10	5.0.0-preview.7	src/runtime-deps/5.0/buster-slim/arm64v8/Dockerfile	dotnet/nightly/runtime-deps	2020-06-29 20.07.24.00
sha256:1266256bc83f8ed53f586b61202257fd03c2a0f67fffbd86d388d92e6d2e616d	arm64	Linux	Ubuntu 20.04	5.0.100-preview.8	src/sdk/5.0/focal/arm64v8/Dockerfile	dotnet/nightly/sdk	2020-08-17 13.39.52.00
sha256:131508c8e5b57e43a17f282df507418912163e0235f6a8c6636e3940ee63067b	amd64	Linux	Debian 10	3.1.3	3.1/aspnet/buster-slim/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-30 13.52.16.00
sha256:132b02667280259e2b41b4961b2e1e6cf27fb21b74334e1a4926abd911ea68a8	arm32	Linux	Debian 10	5.0.0-preview.8	src/runtime/5.0/buster-slim/arm32v7/Dockerfile	dotnet/nightly/runtime	2020-08-13 21.45.07.00
