Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:b06df4ebb5952355598d2f54003fc3b977e7338be99e06fb750e04a76e5a19b1	arm64	Linux	Debian 10	3.1.402	src/sdk/3.1/buster/arm64v8/Dockerfile	dotnet/core/sdk	2020-09-08 15:46:50.0000000
sha256:1dfe1d05305a67c56dbf7babba451166db9318800b007250756de0fccddfc96a	amd64	Linux	Alpine 3.12	2.1.22	src/aspnet/2.1/alpine3.12/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:51.0000000
sha256:a1a540cb033d536162264271809318e392b20576e899ffdbc756be3c69433dbe	amd64	Linux	Debian 9	2.1.22	src/runtime-deps/2.1/stretch-slim/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:51.0000000
sha256:55eddd57e3e59af4418e786168b421004bd26a8286c9af62d89464aaca43ce79	amd64	Linux	Alpine 3.12	3.1.8	src/runtime-deps/3.1/alpine3.12/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:51.0000000
sha256:55eddd57e3e59af4418e786168b421004bd26a8286c9af62d89464aaca43ce79	amd64	Linux	Alpine 3.12	3.1.9	src/runtime-deps/3.1/alpine3.12/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:51.0000000
sha256:55eddd57e3e59af4418e786168b421004bd26a8286c9af62d89464aaca43ce79	amd64	Linux	Alpine 3.12	5.0.0-rc.2	src/runtime-deps/3.1/alpine3.12/amd64/Dockerfile	dotnet/runtime-deps	2020-09-08 15:46:51.0000000
sha256:d90bc9e6c3a14ed65990be64e20270195fe974bce6987df6a99a46ddfb4b1c95	amd64	Linux	Alpine 3.11	2.1.22	src/runtime/2.1/alpine3.11/amd64/Dockerfile	dotnet/core/runtime	2020-09-08 15:46:52.0000000
sha256:d44d05d256ce8703ee07bfa430b1d39d8e9797619c3d5ce871fa9cd23e7b6367	arm64	Linux	Ubuntu 18.04	3.1.402	src/sdk/3.1/bionic/arm64v8/Dockerfile	dotnet/core/sdk	2020-09-08 15:46:52.0000000
sha256:9dd75d5bec92c55d98b12528dd8840c984e12bae3c53c4392f7286d1ed098329	amd64	Linux	Alpine 3.12	3.1.8	src/runtime/3.1/alpine3.12/amd64/Dockerfile	dotnet/core/runtime	2020-09-08 15:46:55.0000000
sha256:73ace8e24af52da8b74505512744955d8a491695ca39ba01779687431368c824	arm64	Linux	Debian 10	3.1.8	src/runtime/3.1/buster-slim/arm64v8/Dockerfile	dotnet/core/runtime	2020-09-08 15:46:55.0000000
sha256:a1f48c42dd6aa7960679888b9e852dcc381e4983d6acea3530ca60e81e120d76	arm64	Linux	Ubuntu 20.04	3.1.402	src/sdk/3.1/focal/arm64v8/Dockerfile	dotnet/core/sdk	2020-09-08 15:46:56.0000000
sha256:fb7467071e6e4493eea87e544191cd18dab8393895a502daa79e7bc2c1a85cc9	arm64	Linux	Ubuntu 20.04	3.1.8	src/runtime/3.1/focal/arm64v8/Dockerfile	dotnet/core/runtime	2020-09-08 15:46:58.0000000
sha256:a737b702aec65fd5c23a7ad5f9ab8c6ed5ca746fdcca95a752b74fbe70c525e7	amd64	Linux	Alpine 3.12	3.1.8	src/aspnet/3.1/alpine3.12/amd64/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:59.0000000
sha256:3323ed25eba97ad2e02f3f10760905e7c07ed713f52a4ffba8fabcaffaea51e9	amd64	Linux	Alpine 3.11	3.1.8	src/runtime-deps/3.1/alpine3.11/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:59.0000000
